"filename", "language", "HTML", "JavaScript", "JSON", "Markdown", "PostCSS", "Properties", "comment", "blank", "total"
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\.env", "Properties", 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\Readme.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\configs\db.js", "JavaScript", 0, 11, 0, 0, 0, 0, 42, 5, 58
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\controllers\activity.controller.js", "JavaScript", 0, 104, 0, 0, 0, 0, 1, 19, 124
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\controllers\course.controller.js", "JavaScript", 0, 48, 0, 0, 0, 0, 2, 14, 64
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\controllers\student.controller.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\database\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\database\mock\courses.json", "JSON", 0, 0, 62, 0, 0, 0, 0, 1, 63
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\database\mock\students.json", "JSON", 0, 0, 142, 0, 0, 0, 0, 1, 143
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\index.js", "JavaScript", 0, 210, 0, 0, 0, 0, 18, 20, 248
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\middlewares\authentication.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 2, 13
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\middlewares\uploadImgActivity.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\package-lock.json", "JSON", 0, 0, 3758, 0, 0, 0, 0, 1, 3759
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\pdf\assets\detail.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\styles\pages\activity.css", "PostCSS", 0, 0, 0, 0, 44, 0, 1, 8, 53
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\styles\pages\courses.css", "PostCSS", 0, 0, 0, 0, 47, 0, 5, 8, 60
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\styles\pages\home.css", "PostCSS", 0, 0, 0, 0, 56, 0, 0, 7, 63
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\styles\pages\selflearn.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\styles\style.css", "PostCSS", 0, 0, 0, 0, 147, 0, 4, 17, 168
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\public\videos\assets\detail.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\routes\activity.route.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\routes\course.route.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\routes\pages\page.js", "JavaScript", 0, 123, 0, 0, 0, 0, 6, 11, 140
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\routes\student.route.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\routes\user.route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\server.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\tests\1_unit-tests.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 2, 12
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\tests\performance\activity.test.js", "JavaScript", 0, 51, 0, 0, 0, 0, 6, 13, 70
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\tests\unit\activity.test.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\tests\unit\page.test.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 2, 19
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\layout.ejs", "HTML", 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\activities.ejs", "HTML", 79, 0, 0, 0, 0, 0, 1, 18, 98
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\activity.ejs", "HTML", 39, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\course.ejs", "HTML", 36, 0, 0, 0, 0, 0, 2, 7, 45
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\courses.ejs", "HTML", 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\home.ejs", "HTML", 36, 0, 0, 0, 0, 0, 2, 6, 44
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\login.ejs", "HTML", 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\profile.ejs", "HTML", 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\selflearn.ejs", "HTML", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\pages\testform.ejs", "HTML", 36, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\partials\footer.ejs", "HTML", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\tuchchapon\Desktop\elearning-app-mern1913\views\partials\navigation.ejs", "HTML", 43, 0, 0, 0, 0, 0, 0, 0, 43
"Total", "-", 389, 708, 4000, 4, 294, 7, 98, 232, 5732
